address,year,date_label,Lon,Lat
"Пермский край, г. Пермь, ул. Монастырская, д. 3",1801,1-я пол. XIX в.,56.253132,58.020624
"Пермский край, г. Пермь, улица Окулова, д. 1",1801,1-я половина XIX века,56.236666,58.017449
"Пермский край, г. Пермь, Мотовилихинский район, ул. Красная площадь, 1",1736,1736-1738 гг.,56.321961,58.038098
"Пермский край, г. Пермь, ул. Советская, д. 1",1757,1757-1764 гг.,56.252737,58.018726
"Пермский край, г. Пермь, Комсомольский проспект, д. 6",1793,1793-1800 гг.,56.235121,58.015966
"Пермский край, г. Пермь, Комсомольский проспект, д. 4",1798,1798-1832 гг.,56.234681,58.01641
"Пермский край, г. Пермь, Куйбышева ул., 6",1820,1820-е гг.,56.231878,58.014574
"Пермский край, г. Пермь, ул. Монастырская, д.11.",1820,1820-е гг. - 1890-е гг.,56.246547,58.018741
"Пермский край, г. Пермь, ул. Монастырская, 11",1820,1820-е гг. - 1890-е гг.,56.246547,58.018741
"Пермский край, г. Пермь, ул. Монастырская, д.11, литеры II-III",1820,1820-е гг. - 1890-е гг.,56.246547,58.018741
"Пермский край, г. Пермь, ул. Монастырская, д.11, литера Б",1820,1820-е гг. - 1890-е гг.,56.246718,58.018426
"Пермский край, г. Пермь, Красная пл., д. 1",1825,1825 г.,56.321961,58.038098
"Пермский край, г. Пермь, ул. Сибирская, д. 20",1830,1830 г.,56.250347,58.009821
"Пермский край, г. Пермь, ул. Максима Горького, д. 28",1854,1854-1859 гг.,56.253123,58.015037
"Пермский край, г. Пермь, ул. Максима Горького, д. 28",1854,"1854-1895 гг., кон. 19 в.",56.253123,58.015037
"Пермский край, г. Пермь, ул.1905 года, д. 35",1863,"1863 г., 1880-1890-е гг., 1875 г., 1866 г., кон. XIX в., 1890 г.",56.306672,58.035935
"Пермская область, г. Пермь, ул. Ленина, д. 32",1870,1870-е гг.,56.247724,58.013687
"Пермский край, г. Пермь, ул. Максима Горького, д. 2",1876,1876-1899 гг.,56.249251,58.019065
