address,year,Lon,Lat
"г. Пермь, п. Ново-Бродовский, ул. Виноградная, д. 34",2015,56.425384,57.941754
"г. Пермь, п. Новые Ляды, ул. Мира, д. 8",1966,56.586488,58.050488
"г. Пермь, п. Новые Ляды, ул. Мира, д. 15",1982,56.579059,58.050097
"г. Пермь, п. Новые Ляды, ул. Мира, д. 20",1977,56.581565,58.05176
"г. Пермь, п. Новые Ляды, ул. Мира, д. 24",1979,56.579732,58.051688
"г. Пермь, п. Новые Ляды, ул. Молодежная, д. 8",1961,56.589551,58.051479
"г. Пермь, п. Новые Ляды, ул. Островского, д. 81",1960,56.588509,58.05175
"г. Пермь, п. Новые Ляды, ул. Островского, д. 83",1961,56.587988,58.051845
"г. Пермь, км. 1447, д. 1",1935,56.276416,57.943856
"г. Пермь, км. 1447, д. 3",1967,56.277584,57.943966
"г. Пермь, ул. 25 Октября, д. 4",1958,56.246044,58.018059
"г. Пермь, ул. 25 Октября, д. 5",1959,56.245532,58.017763
"г. Пермь, ул. 25 Октября, д. 8",1987,56.247095,58.016996
"г. Пермь, ул. 25 Октября, д. 17",2009,56.250464,58.012524
"г. Пермь, ул. 25 Октября, д. 22, к. а",1982,56.250895,58.012968
"г. Пермь, ул. 25 Октября, д. 22а",1982,56.250895,58.012968
"г. Пермь, ул. 25 Октября, д. 22б",1982,56.250931,58.013349
"г. Пермь, ул. 25 Октября, д. 24",1955,56.251111,58.012624
"г. Пермь, ул. 25 Октября, д. 27",1948,56.253006,58.009954
"г. Пермь, ул. 25 Октября, д. 29",1994,56.253195,58.009702
"г. Пермь, ул. 25 Октября, д. 38",1988,56.257345,58.007708
"г. Пермь, ул. 25 Октября, д. 40А",1964,56.256546,58.007098
"г. Пермь, ул. 25 Октября, д. 45",1942,56.255692,58.006841
"г. Пермь, ул. 25 Октября, д. 64",1987,56.260552,58.003817
"г. Пермь, ул. 25 Октября, д. 66",1988,56.260363,58.003374
"г. Пермь, ул. 25 Октября, д. 68",1983,56.261792,58.002592
"г. Пермь, ул. 25 Октября, д. 70",1984,56.261621,58.0021
"г. Пермь, ул. 25 Октября, д. 72",2005,56.261989,58.001771
"г. Пермь, ул. 25 Октября, д. 77",2016,56.259133,58.003288
"г. Пермь, ул. 25 Октября, д. 81",1976,56.259654,58.002611
"г. Пермь, ул. 25 Октября, д. 83",1975,56.260345,58.001919
"г. Пермь, ул. 4 Пятилетки, д. 2А",1958,55.930969,58.001795
"г. Пермь, ул. 9 Мая, д. 1",1994,56.189917,57.986717
"г. Пермь, ул. 9 Мая, д. 14",1964,56.189873,57.983544
"г. Пермь, ул. 9 Мая, д. 16",1964,56.190421,57.983
"г. Пермь, ул. 9 Мая, д. 18",1964,56.19034,57.982528
"г. Пермь, ул. 9 Мая, д. 18, стр. А",1965,56.191292,57.982155
"г. Пермь, ул. 9 Мая, д. 18/1",1994,56.190681,57.981769
"г. Пермь, ул. 9 Мая, д. 18А",1965,56.191292,57.982155
"г. Пермь, ул. 9 Мая, д. 20",1964,56.191364,57.981511
"г. Пермь, ул. 9 Мая, д. 22",1964,56.192172,57.981296
"г. Пермь, ул. 9 Мая, д. 24",1964,56.192738,57.980748
"г. Пермь, ул. 9 Мая, д. 27",1984,56.19617,57.978204
"г. Пермь, ул. 9 Января, д. 9",1968,56.140321,58.005176
"г. Пермь, ул. 9 Января, д. 19",1968,56.136872,58.006292
"г. Пермь, ул. Авиационная, д. 51",1958,56.289864,58.027101
"г. Пермь, ул. Автозаводская, д. 3, лит. Е",1952,55.930143,57.994445
"г. Пермь, ул. Автозаводская, д. 3, лит. в",1953,55.929936,57.994111
"г. Пермь, ул. Автозаводская, д. 3, лит. Г",1952,55.929029,57.993792
"г. Пермь, ул. Автозаводская, д. 3в",1953,55.929936,57.994111
"г. Пермь, ул. Автозаводская, д. 3г",1952,55.929029,57.993792
"г. Пермь, ул. Автозаводская, д. 3е",1952,55.930143,57.994445
"г. Пермь, ул. Автозаводская, д. 3и",1956,55.929649,57.994841
"г. Пермь, ул. Автозаводская, д. 4",1997,55.936772,57.999077
"г. Пермь, ул. Автозаводская, д. 14",1960,55.939018,58.000484
"г. Пермь, ул. Автозаводская, д. 16",1950,55.94024,58.00119
"г. Пермь, ул. Автозаводская, д. 18",1949,55.940833,58.001447
"г. Пермь, ул. Автозаводская, д. 20",1950,55.941219,58.001838
"г. Пермь, ул. Автозаводская, д. 22",1943,55.942009,58.002077
"г. Пермь, ул. Автозаводская, д. 24",1945,55.942288,58.002482
"г. Пермь, ул. Автозаводская, д. 25",1977,55.942935,58.003827
"г. Пермь, ул. Автозаводская, д. 25/А",1958,55.943069,58.00356
"г. Пермь, ул. Автозаводская, д. 26",1943,55.943222,58.003083
