address,year
"г. Пермь, п. Ново-Бродовский, ул. Виноградная, д. 34",2015
"г. Пермь, п. Новые Ляды, ул. Мира, д. 8",1966
"г. Пермь, п. Новые Ляды, ул. Мира, д. 15",1982
"г. Пермь, п. Новые Ляды, ул. Мира, д. 20",1977
"г. Пермь, п. Новые Ляды, ул. Мира, д. 24",1979
"г. Пермь, п. Новые Ляды, ул. Молодежная, д. 8",1961
"г. Пермь, п. Новые Ляды, ул. Островского, д. 81",1960
"г. Пермь, п. Новые Ляды, ул. Островского, д. 83",1961
"г. Пермь, км. 1447, д. 1",1935
"г. Пермь, км. 1447, д. 3",1967
"г. Пермь, ул. 25 Октября, д. 4",1958
"г. Пермь, ул. 25 Октября, д. 5",1959
"г. Пермь, ул. 25 Октября, д. 8",1987
"г. Пермь, ул. 25 Октября, д. 17",2009
"г. Пермь, ул. 25 Октября, д. 22, к. а",1982
"г. Пермь, ул. 25 Октября, д. 22а",1982
"г. Пермь, ул. 25 Октября, д. 22б",1982
"г. Пермь, ул. 25 Октября, д. 24",1955
"г. Пермь, ул. 25 Октября, д. 27",1948
"г. Пермь, ул. 25 Октября, д. 29",1994
"г. Пермь, ул. 25 Октября, д. 38",1988
"г. Пермь, ул. 25 Октября, д. 40А",1964
"г. Пермь, ул. 25 Октября, д. 45",1942
"г. Пермь, ул. 25 Октября, д. 64",1987
"г. Пермь, ул. 25 Октября, д. 66",1988
"г. Пермь, ул. 25 Октября, д. 68",1983
"г. Пермь, ул. 25 Октября, д. 70",1984
"г. Пермь, ул. 25 Октября, д. 72",2005
"г. Пермь, ул. 25 Октября, д. 77",2016
"г. Пермь, ул. 25 Октября, д. 81",1976
"г. Пермь, ул. 25 Октября, д. 83",1975
"г. Пермь, ул. 4 Пятилетки, д. 2А",1958
"г. Пермь, ул. 9 Мая, д. 1",1994
"г. Пермь, ул. 9 Мая, д. 1, стр.  жилой дом",1994
"г. Пермь, ул. 9 Мая, д. 3, стр. жилой дом",1996
"г. Пермь, ул. 9 Мая, д. 14",1964
"г. Пермь, ул. 9 Мая, д. 16",1964
"г. Пермь, ул. 9 Мая, д. 18",1964
"г. Пермь, ул. 9 Мая, д. 18, стр. А",1965
"г. Пермь, ул. 9 Мая, д. 18/1",1994
"г. Пермь, ул. 9 Мая, д. 18А",1965
"г. Пермь, ул. 9 Мая, д. 20",1964
"г. Пермь, ул. 9 Мая, д. 22",1964
"г. Пермь, ул. 9 Мая, д. 24",1964
"г. Пермь, ул. 9 Мая, д. 27",1984
"г. Пермь, ул. 9 Января, д. 9",1968
"г. Пермь, ул. 9 Января, д. 19",1968
"г. Пермь, ул. Авиационная, д. 51",1958
"г. Пермь, ул. Автозаводская, д. 3, лит. Е",1952
"г. Пермь, ул. Автозаводская, д. 3, лит. в",1953
"г. Пермь, ул. Автозаводская, д. 3, лит. Г",1952
"г. Пермь, ул. Автозаводская, д. 3в",1953
"г. Пермь, ул. Автозаводская, д. 3г",1952
"г. Пермь, ул. Автозаводская, д. 3е",1952
"г. Пермь, ул. Автозаводская, д. 3и",1956
"г. Пермь, ул. Автозаводская, д. 4",1997
"г. Пермь, ул. Автозаводская, д. 14",1960
"г. Пермь, ул. Автозаводская, д. 16",1950
"г. Пермь, ул. Автозаводская, д. 18",1949
"г. Пермь, ул. Автозаводская, д. 20",1950
"г. Пермь, ул. Автозаводская, д. 22",1943
"г. Пермь, ул. Автозаводская, д. 24",1945
"г. Пермь, ул. Автозаводская, д. 25",1977
"г. Пермь, ул. Автозаводская, д. 25/А",1958
"г. Пермь, ул. Автозаводская, д. 26",1943
"г. Пермь, ул. Автозаводская, д. 26/А",1988
"г. Пермь, ул. Автозаводская, д. 27",1980
"г. Пермь, ул. Автозаводская, д. 27/1",1981
"г. Пермь, ул. Автозаводская, д. 27/2",1982
